index,Action,Adventure,Avant Garde,Award Winning,Boys Love,Comedy,Drama,Ecchi,Fantasy,Girls Love,Gourmet,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
1951,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1953,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1956,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1966,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1967,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
1969,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1970,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1971,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,4.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0
1974,2.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
1975,6.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
1976,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1977,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0
1978,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1979,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1980,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
1981,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0
1982,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1983,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
1984,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0
1985,7.0,4.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0
1986,7.0,2.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0
1987,5.0,4.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,3.0,1.0
1988,6.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,1.0,0.0,3.0,1.0
1989,7.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0
1990,9.0,6.0,0.0,4.0,0.0,5.0,6.0,2.0,7.0,0.0,0.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,0.0
1991,7.0,4.0,0.0,2.0,1.0,5.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,7.0,1.0,0.0,2.0,0.0
1992,7.0,7.0,0.0,0.0,0.0,5.0,5.0,0.0,9.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0
1993,4.0,5.0,1.0,3.0,1.0,7.0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,4.0,4.0,3.0,4.0,0.0
1994,9.0,7.0,0.0,6.0,2.0,12.0,11.0,3.0,9.0,0.0,0.0,5.0,4.0,8.0,10.0,2.0,2.0,8.0,1.0
1995,13.0,6.0,1.0,3.0,1.0,8.0,8.0,1.0,11.0,0.0,1.0,7.0,1.0,4.0,6.0,2.0,1.0,9.0,2.0
1996,8.0,4.0,1.0,6.0,5.0,10.0,12.0,3.0,7.0,0.0,2.0,2.0,1.0,9.0,6.0,4.0,2.0,5.0,1.0
1997,12.0,8.0,1.0,4.0,0.0,14.0,11.0,6.0,9.0,0.0,0.0,5.0,1.0,11.0,10.0,3.0,3.0,9.0,0.0
1998,12.0,12.0,0.0,3.0,4.0,18.0,20.0,4.0,7.0,2.0,0.0,3.0,3.0,22.0,5.0,5.0,3.0,13.0,0.0
1999,15.0,11.0,0.0,5.0,2.0,21.0,23.0,4.0,8.0,0.0,1.0,4.0,8.0,20.0,10.0,7.0,1.0,9.0,0.0
2000,18.0,17.0,0.0,5.0,1.0,23.0,28.0,7.0,16.0,0.0,0.0,9.0,8.0,23.0,12.0,6.0,4.0,12.0,0.0
2001,24.0,12.0,0.0,4.0,0.0,33.0,31.0,6.0,18.0,0.0,0.0,7.0,11.0,36.0,20.0,13.0,2.0,11.0,1.0
2002,24.0,10.0,0.0,6.0,5.0,38.0,33.0,11.0,14.0,0.0,1.0,6.0,5.0,30.0,17.0,4.0,4.0,16.0,0.0
2003,19.0,13.0,0.0,3.0,3.0,39.0,32.0,10.0,17.0,2.0,0.0,3.0,7.0,42.0,13.0,10.0,2.0,11.0,0.0
2004,28.0,11.0,0.0,7.0,1.0,52.0,46.0,15.0,17.0,1.0,1.0,10.0,13.0,63.0,18.0,16.0,3.0,27.0,0.0
2005,33.0,16.0,0.0,2.0,5.0,39.0,45.0,13.0,31.0,3.0,0.0,7.0,15.0,45.0,14.0,10.0,2.0,35.0,0.0
2006,40.0,22.0,0.0,6.0,5.0,65.0,54.0,19.0,38.0,5.0,0.0,6.0,13.0,55.0,13.0,28.0,6.0,33.0,1.0
2007,45.0,21.0,0.0,4.0,4.0,59.0,52.0,29.0,46.0,7.0,1.0,8.0,19.0,56.0,18.0,19.0,6.0,40.0,2.0
2008,51.0,28.0,0.0,9.0,2.0,85.0,72.0,22.0,51.0,4.0,1.0,8.0,19.0,81.0,11.0,27.0,2.0,40.0,2.0
2009,56.0,24.0,0.0,5.0,5.0,98.0,60.0,29.0,45.0,9.0,1.0,9.0,23.0,98.0,19.0,30.0,7.0,46.0,0.0
2010,52.0,21.0,0.0,3.0,3.0,85.0,63.0,30.0,37.0,11.0,0.0,8.0,19.0,104.0,22.0,28.0,8.0,43.0,3.0
2011,68.0,23.0,1.0,5.0,7.0,100.0,54.0,34.0,44.0,9.0,0.0,17.0,25.0,82.0,28.0,28.0,0.0,53.0,2.0
2012,62.0,27.0,0.0,4.0,8.0,89.0,66.0,34.0,40.0,6.0,2.0,17.0,28.0,102.0,29.0,27.0,4.0,54.0,1.0
2013,82.0,16.0,1.0,3.0,7.0,107.0,81.0,33.0,54.0,10.0,0.0,12.0,25.0,113.0,36.0,38.0,4.0,78.0,2.0
2014,79.0,27.0,0.0,3.0,8.0,100.0,57.0,23.0,63.0,10.0,0.0,12.0,21.0,91.0,29.0,37.0,3.0,53.0,1.0
2015,44.0,11.0,0.0,4.0,10.0,91.0,44.0,13.0,34.0,6.0,2.0,12.0,18.0,71.0,19.0,39.0,2.0,51.0,4.0
2016,37.0,13.0,0.0,5.0,10.0,75.0,41.0,14.0,39.0,5.0,2.0,12.0,12.0,55.0,16.0,36.0,1.0,43.0,1.0
2017,35.0,22.0,0.0,4.0,9.0,70.0,43.0,9.0,41.0,9.0,1.0,6.0,12.0,58.0,15.0,27.0,5.0,42.0,4.0
2018,35.0,16.0,0.0,4.0,11.0,102.0,52.0,20.0,43.0,22.0,1.0,9.0,19.0,70.0,20.0,46.0,1.0,45.0,1.0
2019,30.0,20.0,0.0,4.0,11.0,92.0,50.0,11.0,49.0,25.0,4.0,5.0,7.0,75.0,13.0,48.0,3.0,29.0,3.0
2020,26.0,18.0,0.0,2.0,17.0,74.0,40.0,10.0,40.0,10.0,0.0,4.0,14.0,69.0,15.0,41.0,3.0,27.0,3.0
2021,20.0,5.0,0.0,1.0,5.0,64.0,19.0,7.0,25.0,5.0,0.0,6.0,6.0,44.0,5.0,21.0,3.0,19.0,1.0
2022,14.0,10.0,0.0,3.0,1.0,27.0,14.0,2.0,18.0,5.0,1.0,0.0,2.0,26.0,7.0,12.0,1.0,7.0,2.0
2023,4.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,0.0
