score,Action,Adventure,Avant Garde,Award Winning,Boys Love,Comedy,Drama,Ecchi,Fantasy,Girls Love,Gourmet,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
6.37,4.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,2.0,1.0,0.0,1.0,2.0,7.0,2.0,2.0,0.0,4.0,0.0
6.38,6.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0
6.39,2.0,1.0,0.0,0.0,1.0,5.0,4.0,2.0,3.0,1.0,0.0,1.0,2.0,4.0,3.0,1.0,0.0,6.0,0.0
6.4,7.0,4.0,0.0,0.0,0.0,4.0,3.0,1.0,9.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,2.0,0.0
6.41,5.0,4.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0
6.42,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6.43,5.0,4.0,0.0,0.0,0.0,3.0,2.0,2.0,7.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0
6.44,9.0,2.0,0.0,0.0,1.0,13.0,9.0,7.0,8.0,3.0,0.0,1.0,0.0,9.0,6.0,1.0,0.0,3.0,0.0
6.45,5.0,5.0,1.0,0.0,1.0,4.0,2.0,5.0,7.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
6.46,9.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0
6.47,3.0,3.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0
6.48,2.0,5.0,1.0,0.0,2.0,10.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,2.0,2.0,0.0
6.49,6.0,4.0,0.0,0.0,0.0,8.0,2.0,6.0,9.0,0.0,0.0,2.0,0.0,10.0,2.0,1.0,0.0,5.0,0.0
6.5,5.0,2.0,0.0,0.0,0.0,10.0,2.0,5.0,6.0,2.0,0.0,2.0,2.0,5.0,0.0,2.0,0.0,3.0,0.0
6.51,6.0,4.0,0.0,0.0,0.0,8.0,5.0,6.0,5.0,0.0,0.0,4.0,4.0,10.0,2.0,3.0,1.0,8.0,0.0
6.52,3.0,2.0,0.0,0.0,1.0,4.0,8.0,2.0,3.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,6.0,0.0
6.53,3.0,6.0,0.0,0.0,0.0,9.0,2.0,3.0,7.0,1.0,0.0,1.0,1.0,7.0,0.0,3.0,0.0,3.0,0.0
6.54,4.0,3.0,0.0,0.0,2.0,10.0,10.0,1.0,4.0,0.0,1.0,1.0,2.0,12.0,4.0,4.0,0.0,5.0,0.0
6.55,6.0,5.0,0.0,0.0,0.0,10.0,6.0,6.0,4.0,3.0,0.0,1.0,2.0,10.0,1.0,2.0,1.0,6.0,0.0
6.56,4.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,3.0,0.0
6.57,6.0,5.0,0.0,0.0,1.0,12.0,4.0,5.0,7.0,3.0,2.0,2.0,1.0,13.0,2.0,4.0,0.0,2.0,0.0
6.58,4.0,2.0,0.0,0.0,1.0,8.0,6.0,2.0,4.0,0.0,0.0,2.0,1.0,11.0,4.0,2.0,0.0,2.0,0.0
6.59,6.0,2.0,0.0,0.0,1.0,3.0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,2.0,0.0
6.6,8.0,5.0,0.0,0.0,1.0,14.0,5.0,7.0,8.0,0.0,0.0,3.0,3.0,11.0,3.0,3.0,0.0,6.0,0.0
6.61,8.0,5.0,0.0,0.0,3.0,15.0,6.0,5.0,6.0,1.0,0.0,2.0,1.0,8.0,1.0,4.0,2.0,3.0,0.0
6.62,5.0,1.0,0.0,0.0,2.0,3.0,7.0,3.0,3.0,1.0,0.0,1.0,2.0,9.0,4.0,1.0,0.0,3.0,0.0
6.63,6.0,4.0,0.0,0.0,0.0,15.0,2.0,6.0,8.0,2.0,0.0,0.0,1.0,7.0,1.0,7.0,0.0,6.0,0.0
6.64,8.0,4.0,0.0,0.0,0.0,7.0,4.0,2.0,6.0,0.0,0.0,1.0,0.0,8.0,2.0,3.0,0.0,4.0,0.0
6.65,7.0,5.0,0.0,0.0,2.0,15.0,8.0,1.0,14.0,2.0,0.0,1.0,2.0,19.0,3.0,3.0,0.0,3.0,2.0
6.66,9.0,3.0,0.0,0.0,0.0,11.0,5.0,2.0,5.0,0.0,0.0,3.0,0.0,7.0,2.0,1.0,0.0,4.0,0.0
6.67,9.0,4.0,0.0,0.0,1.0,11.0,6.0,6.0,6.0,1.0,1.0,4.0,3.0,8.0,6.0,6.0,0.0,8.0,1.0
6.68,3.0,0.0,0.0,0.0,2.0,4.0,10.0,5.0,4.0,1.0,0.0,2.0,1.0,12.0,1.0,2.0,0.0,6.0,0.0
6.69,3.0,0.0,0.0,0.0,0.0,6.0,7.0,2.0,2.0,2.0,0.0,2.0,1.0,9.0,4.0,1.0,1.0,4.0,0.0
6.7,8.0,2.0,0.0,0.0,0.0,10.0,5.0,4.0,7.0,0.0,0.0,1.0,3.0,11.0,3.0,1.0,0.0,4.0,0.0
6.71,7.0,7.0,0.0,0.0,1.0,6.0,4.0,3.0,6.0,0.0,0.0,1.0,1.0,10.0,1.0,1.0,1.0,5.0,0.0
6.72,6.0,3.0,0.0,0.0,5.0,10.0,3.0,3.0,7.0,0.0,0.0,3.0,6.0,9.0,3.0,4.0,1.0,5.0,0.0
6.73,5.0,1.0,0.0,0.0,0.0,15.0,6.0,6.0,5.0,3.0,1.0,3.0,3.0,14.0,1.0,4.0,0.0,10.0,0.0
6.74,7.0,3.0,0.0,0.0,0.0,8.0,4.0,2.0,6.0,0.0,0.0,1.0,1.0,8.0,1.0,2.0,2.0,5.0,0.0
6.75,6.0,4.0,0.0,0.0,1.0,5.0,10.0,1.0,6.0,1.0,0.0,3.0,0.0,11.0,3.0,1.0,0.0,2.0,0.0
6.76,4.0,4.0,0.0,0.0,2.0,11.0,7.0,3.0,8.0,1.0,0.0,0.0,2.0,9.0,1.0,3.0,0.0,4.0,0.0
6.77,5.0,2.0,0.0,1.0,0.0,12.0,8.0,2.0,7.0,0.0,0.0,1.0,1.0,14.0,1.0,5.0,5.0,2.0,0.0
6.78,6.0,0.0,0.0,0.0,1.0,9.0,6.0,2.0,3.0,0.0,0.0,1.0,1.0,8.0,4.0,3.0,0.0,4.0,1.0
6.79,4.0,5.0,0.0,0.0,0.0,11.0,4.0,3.0,8.0,2.0,0.0,0.0,3.0,9.0,2.0,3.0,1.0,5.0,0.0
